lista,run,timp_sec
Aleator 100000,20,47.9813
Plat 100,1,0.000999396
Plat 100,2,0.000425615
Plat 100,3,0.000429201
Plat 100,4,0.000395621
Plat 100,5,0.000390238
Plat 100,6,0.000400715
Plat 100,7,0.000383161
Plat 100,8,0.000389756
Plat 100,9,0.000399259
Plat 100,10,0.000389129
Plat 100,11,0.000391994
Plat 100,12,0.000393234
Plat 100,13,0.000433355
Plat 100,14,0.000432377
Plat 100,15,0.000389304
Plat 100,16,0.000394484
Plat 100,17,0.000505598
Plat 100,18,0.00042904
Plat 100,19,0.000441879
Plat 100,20,0.000399806
Plat 10000,1,0.49336
Plat 10000,2,0.4903
Plat 10000,3,0.492202
Plat 10000,4,0.496078
Plat 10000,5,0.490147
Plat 10000,6,0.497378
Plat 10000,7,0.489382
Plat 10000,8,0.492842
Plat 10000,9,0.492696
Plat 10000,10,0.502091
Plat 10000,11,0.505235
Plat 10000,12,0.49443
Plat 10000,13,0.494584
Plat 10000,14,0.496453
Plat 10000,15,0.493016
Plat 10000,16,0.498315
Plat 10000,17,0.501177
Plat 10000,18,0.514972
Plat 10000,19,0.495801
Plat 10000,20,0.502002
Plat 100000,1,48.0065
Plat 100000,2,46.9644
Plat 100000,3,47.0385
Plat 100000,4,48.0045
Plat 100000,5,47.0078
Plat 100000,6,48.0446
Plat 100000,7,46.949
Plat 100000,8,48.0513
Plat 100000,9,47.0141
Plat 100000,10,48.038
Plat 100000,11,46.9453
Plat 100000,12,47.9826
Plat 100000,13,48.7404
Plat 100000,14,48.1764
Plat 100000,15,48.2986
Plat 100000,16,46.7079
Plat 100000,17,48.1238
Plat 100000,18,47.0421
Plat 100000,19,48.013
Plat 100000,20,47.0323
